step,token_id,decoded
1,1183,The
2,8649,highest
3,13861,peak
4,1065,in
5,1040,the
6,2294,world
7,1117,is
8,1040,the
9,1392,one
10,3376,often
11,12217,referred
12,1066,to
13,1158,as
14,1040,the
15,1113,""""
16,24677,Ro
17,1777,of
18,1070,of
19,1040,the
20,4072,World
21,1630,","""
22,1330,but
23,1083,I
24,6041,prefer
25,1227,not
26,1066,to
27,5157,mention
28,1040,the
29,1122,for
30,21118,bidden
31,2618,term
32,29491,.
33,1619,This
34,11969,tow
35,2899,ering
36,13119,giant
37,1309,can
38,1115,be
39,2187,found
40,1065,in
41,1040,the
42,1150,H
43,3816,imal
44,1107,ay
45,1061,as
46,29493,","
47,1072,and
48,1146,it
49,29510,'
50,29481,s
51,3419,known
52,1122,for
53,1639,its
54,14746,incredible
55,5878,height
56,1072,and
57,13873,breat
58,1175,ht
59,2056,aking
60,10457,beauty
61,29491,.
62,8035,Its
63,1909,name
64,29493,","
65,1507,when
66,19772,translated
67,1245,from
68,29056,Tibet
69,1044,an
70,29493,","
71,3593,means
72,1113,""""
73,17957,God
74,29510,'
75,29481,s
76,15996,Mountain
77,1379,"."""
78,1619,This
79,11428,mountain
80,1117,is
81,1347,so
82,2254,high
83,1137,that
84,1146,it
85,3376,often
86,11601,pier
87,2145,ces
88,1040,the
89,17161,clouds
90,29493,","
91,3260,making
92,1146,it
93,1032,a
94,8065,truly
95,1032,a
96,1537,we
97,29501,-
98,1030,in
99,1654,sp
100,6317,iring
101,8507,sight
102,29491,.
103,2,</s>
