step,token_id,decoded
1,28765,F
2,789,ish
3,20445,breathe
4,916,under
5,9175,water
6,486,by
7,3344,taking
8,297,in
9,2130,water
10,1059,through
11,652,their
12,319,g
13,2767,ills
14,28725,","
15,690,which
16,7001,contain
17,8887,tiny
18,28725,","
19,23427,specialized
20,8894,cells
21,1987,called
22,319,g
23,425,ill
24,1217,fil
25,22987,aments
26,28723,.
27,2957,These
28,8894,cells
29,460,are
30,6823,covered
31,395,with
32,9026,thin
33,28725,","
34,6416,highly
35,363,v
36,28140,ascular
37,1332,ized
38,25983,membr
39,8782,anes
40,369,that
41,1914,allow
42,21058,oxygen
43,298,to
44,347,be
45,26996,absorbed
46,778,into
47,272,the
48,4242,blood
49,3888,stream
50,1312,while
51,9396,waste
52,319,g
53,2018,ases
54,28725,","
55,1259,such
56,390,as
57,13654,carbon
58,22168,dio
59,28744,x
60,547,ide
61,28725,","
62,460,are
63,2365,exp
64,6099,elled
65,28723,.
66,415,The
67,8006,fish
68,28742,'
69,28713,s
70,3031,heart
71,868,then
72,284,p
73,10575,umps
74,456,this
75,21058,oxygen
76,601,ated
77,4242,blood
78,5473,throughout
79,652,their
80,2187,body
81,28723,.
82,2,</s>
